Mon. Aug. 13, 2018             LANDSAT 7                 Time: 05:33
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L29057370            Path/Row: 013 / 028

L0R Reference Image: L72EDC1118199150101_HDF.182251009
Acquisition Date: Jul 18, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   028   06-01-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130280005_01   46.780607  -71.197941    29.543      -4.143     2.959    -4.719     1.910
0130280006_01   46.541102  -71.633534    84.601       6.499     3.331     5.546     4.757
0130280009_01   45.402122  -71.634878   252.307      -3.756     6.156    -5.091     5.106
0130280012_01   46.213279  -70.783136   126.823      -3.757     2.330    -4.201     1.386
0130280013_01   45.791096  -71.766641   277.000       1.407    -1.573     1.738    -1.200
0130280015_01   46.161887  -71.233781   550.770      -6.796     0.064    -6.619    -1.524
0130280017_01   45.750418  -72.329321   144.992      -3.715    -5.057    -2.422    -5.784
0130280018_01   46.006525  -70.975648   336.222       0.783    -2.653     1.375    -2.396
0130280021_01   46.806442  -71.216295    72.434       2.148    -1.553     2.452    -1.009
0130280022_01   46.778743  -71.306334    46.934      -3.471    -2.454    -2.801    -3.195
0130280023_01   45.963160  -72.537205    35.281      -0.340     3.665    -1.177     3.489
0130280024_01   45.825251  -71.716192   290.626       2.521     5.470     1.175     5.907
0130280026_01   45.936492  -70.949939   400.342      -4.011    -1.576    -3.535    -2.469
0130280028_01   45.641099  -72.127270    93.407      -5.800     4.063    -6.585     2.597
0130280031_01   46.050206  -71.269603   400.933       0.962    -2.672     1.557    -2.371
0130280037_01   46.718408  -70.886075    91.621       5.538     1.884     4.942     3.124
0130280041_01   46.083130  -70.800667   281.272       0.821    -0.871     0.995    -0.655
0130280045_01   46.675512  -71.101103    58.954      -5.838     0.748    -5.851    -0.635
0130280047_01   46.234727  -71.534396   242.756       0.300     2.693    -0.336     2.689
0130280048_01   46.069068  -71.966328   105.882       3.533     0.950     3.219     1.751
