Sat. Aug.  4, 2018             LANDSAT 7                 Time: 05:36
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L28968433            Path/Row: 014 / 028

L0R Reference Image: L72EDC1118190150101_HDF.182161003
Acquisition Date: Jul 09, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   028   06-08-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140280001_01   46.881033  -73.567466   289.380      -1.265    -0.636    -1.133    -0.850
0140280003_01   45.837420  -73.251832   -11.199      -0.551     2.769    -1.038     2.625
0140280004_01   45.525163  -73.735208   -11.196       4.102    -0.872     4.190    -0.123
0140280005_01   46.885126  -73.259035   221.096       0.917    -3.151     1.460    -2.937
0140280006_01   45.412574  -72.712127    98.178      -2.505    -0.670    -2.343    -1.109
0140280008_01   46.328593  -73.500499   190.319       0.615    -4.720     1.446    -4.533
0140280011_01   45.881808  -71.876767   261.181       1.151     0.958     0.963     1.149
0140280012_01   45.451589  -73.676618     9.000       4.282     1.629     3.918     2.369
0140280014_01   46.145672  -73.490713    59.116       1.083     1.270     0.838     1.442
0140280018_01   46.885321  -73.522462   273.000       3.501    -3.624     4.086    -2.944
0140280019_01   46.541919  -72.745718    59.547      -3.756     0.364    -3.760    -0.310
0140280021_01   46.622849  -72.661633   101.040       0.360     0.605     0.247     0.659
0140280022_01   45.707706  -72.202149   117.481      -4.941    -2.669    -4.382    -3.511
0140280023_01   45.547133  -73.497978   -15.000      -1.374    -1.563    -1.071    -1.784
0140280025_01   45.882629  -72.405635    73.846      -1.190    -1.450    -0.911    -1.640
0140280027_01   46.792557  -73.662979   327.327       3.968     4.271     3.141     4.903
0140280029_01   46.387224  -71.758290    93.314      -2.742    -5.062    -1.795    -5.471
0140280031_01   45.538215  -71.983091   125.581      -2.765     5.895    -3.774     5.304
0140280032_01   46.790172  -73.813978   326.646       1.311    -4.072     2.012    -3.772
0140280034_01   46.882144  -73.349300   249.282      -0.999    -3.428    -0.375    -3.549
